team_number,OPR,Hub Auto Fuel Count,Hub Teleop Fuel Count,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub Transition Fuel Count,Hub Shift 1 Fuel Count,Hub Shift 2 Fuel Count,Hub Shift 3 Fuel Count,Hub Shift 4 Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Hub Uncounted,autoTowerPoints,totalAutoPoints,totalTeleopPoints,endGameTowerPoints,totalTowerPoints,energizedAchieved,superchargedAchieved,minorFoulCount,majorFoulCount,foulPoints,rp,totalPoints
20,18.81,0.95,13.79,10.49,14.74,-1.69,2.73,0.68,2.1,-0.53,3.41,1.57,0.16,0.09,1.05,16.6,2.81,2.9,0.0,0.0,-0.26,-0.09,1.16,0.42,18.81
48,77.01,3.91,65.36,28.83,69.27,0.27,12.95,4.33,15.77,3.21,17.29,18.97,-0.46,1.45,5.36,63.57,-1.78,-0.33,0.36,-0.01,0.27,0.09,8.08,0.87,77.01
144,17.27,4.72,10.64,2.09,15.37,-1.21,2.25,8.25,-1.9,1.17,10.5,-0.73,1.51,1.01,5.74,11.43,0.78,1.8,0.12,-0.01,0.59,-0.15,0.11,0.04,17.27
191,24.69,-1.11,17.31,10.53,16.2,-0.18,16.29,-6.54,9.63,-12.42,9.75,-2.79,3.58,0.82,-0.29,18.05,0.74,1.56,-0.11,-0.02,0.11,-0.29,6.93,0.17,24.69
271,22.24,7.67,12.14,8.13,19.81,-0.36,5.33,-0.59,4.15,-4.53,4.74,-0.38,0.3,-0.1,7.57,13.13,0.99,0.89,0.18,0.01,0.83,-0.09,1.54,0.9,22.24
325,13.28,8.38,5.6,8.64,13.98,0.76,-0.53,-5.14,9.72,-7.84,-5.68,1.88,2.34,-0.59,7.79,5.08,-0.52,-1.11,0.11,0.01,0.1,-0.13,0.41,-0.09,13.28
340,134.77,34.57,90.5,13.07,125.07,9.7,7.3,29.81,5.89,24.74,37.11,30.62,1.88,1.66,36.23,91.72,1.22,2.88,0.56,-0.02,0.32,0.0,6.82,1.17,134.77
353,16.48,5.12,10.78,5.51,15.9,-2.54,-1.69,5.52,-3.58,7.56,3.83,3.98,3.31,-1.15,3.97,9.94,-0.84,-1.99,0.06,0.0,-0.1,-0.03,2.57,1.07,16.48
378,19.1,5.76,11.95,7.86,17.71,1.33,7.92,-6.78,11.35,-9.73,1.15,1.61,3.64,0.38,6.14,12.1,0.15,0.52,-0.05,-0.01,0.36,-0.26,0.87,-0.63,19.1
424,155.36,19.27,131.89,31.07,151.16,3.35,19.02,34.35,17.06,27.03,53.37,44.1,-1.33,-0.83,18.43,130.86,-1.03,-1.87,0.51,0.0,0.32,-0.04,6.07,2.16,155.36
432,49.04,12.54,30.43,14.43,42.97,3.63,3.98,0.88,4.4,3.11,4.86,7.51,-0.23,-0.77,11.77,29.48,-0.94,-1.71,0.06,0.0,0.02,0.11,7.78,0.98,49.04
564,19.68,6.93,14.85,0.95,21.78,0.31,1.88,6.15,0.56,5.0,8.03,5.56,-0.94,0.01,6.94,16.96,2.11,2.12,0.11,0.0,0.3,-0.05,-4.21,0.21,19.68
578,9.47,1.09,8.96,2.19,10.05,2.36,6.68,-3.07,3.52,-2.72,3.6,0.8,-1.0,1.16,2.25,6.03,-2.93,-1.77,0.13,0.01,0.2,0.02,1.2,0.48,9.47
639,34.58,2.29,28.38,13.23,30.67,-2.83,2.61,0.74,7.37,7.26,3.35,14.63,-0.29,1.38,3.67,30.94,2.56,3.94,0.08,-0.02,0.03,0.25,-0.03,0.21,34.58
694,145.02,24.99,116.19,32.99,141.19,12.27,14.02,18.15,16.98,21.78,32.17,38.76,1.25,0.74,25.73,116.1,-0.09,0.65,0.52,-0.01,0.49,0.22,3.18,1.25,145.02
810,31.1,12.53,20.98,7.18,33.52,1.02,6.08,5.27,-2.19,3.62,11.36,1.42,1.17,-1.44,11.09,18.5,-2.48,-3.92,0.31,0.0,0.02,0.07,1.51,0.74,31.1
1056,63.05,8.71,53.44,6.12,62.16,3.43,4.05,19.3,10.73,9.81,23.35,20.54,-0.15,-0.9,7.81,53.71,0.27,-0.63,0.42,-0.01,-0.13,0.38,1.52,1.16,63.05
1126,59.72,7.3,57.63,23.51,64.93,0.54,6.31,0.58,19.47,7.22,6.89,26.69,-0.04,-1.18,6.12,56.82,-0.81,-1.99,0.25,0.01,0.01,0.11,-3.23,1.15,59.72
1405,101.28,5.56,96.47,42.02,102.04,0.77,33.48,-4.19,28.56,-4.17,29.29,24.39,-0.33,0.45,6.01,95.06,-1.42,-0.97,0.45,0.01,-0.36,0.12,0.21,1.72,101.28
1450,21.3,3.58,14.71,7.81,18.29,2.26,1.28,-0.25,1.23,2.37,1.04,3.6,1.71,1.55,5.13,12.84,-1.87,-0.31,-0.2,-0.02,0.01,0.18,3.33,-0.73,21.3
1468,19.35,5.4,9.55,2.49,14.95,-0.55,-6.27,7.65,0.17,6.05,1.38,6.22,1.91,0.61,6.02,11.55,2.01,2.62,-0.01,0.01,0.28,0.59,1.78,0.11,19.35
1507,70.28,5.8,63.11,16.98,68.91,3.58,-0.39,17.41,7.49,18.05,17.01,25.54,2.23,-0.38,5.42,63.24,0.13,-0.25,0.4,-0.03,-0.37,0.29,1.62,1.12,70.28
1511,54.19,-1.44,58.08,20.23,56.65,8.12,3.15,5.63,11.81,9.14,8.78,20.95,1.72,-0.39,-1.83,59.83,1.74,1.35,0.29,-0.01,0.38,-0.12,-3.8,1.36,54.19
1518,22.28,11.2,10.17,2.49,21.37,2.84,-2.23,8.52,-6.3,4.85,6.29,-1.46,0.46,-0.35,10.85,10.36,0.2,-0.15,0.06,0.0,0.3,-0.1,1.07,0.35,22.28
1559,67.24,15.37,52.03,14.54,67.4,6.31,4.1,13.12,2.33,11.63,17.22,13.96,-0.06,-1.23,14.14,48.23,-3.8,-5.03,0.22,0.11,0.5,0.38,4.87,0.98,67.24
1585,6.51,3.73,2.43,-2.14,6.16,-0.07,2.27,1.02,5.68,-4.33,3.29,1.35,-1.35,0.86,4.59,-0.18,-2.61,-1.75,0.16,0.0,-0.18,0.23,2.11,0.61,6.51
1591,58.22,11.41,42.85,14.96,54.26,2.52,5.94,7.83,9.2,2.41,13.77,11.61,-0.64,-0.15,11.26,45.21,2.35,2.2,0.34,0.01,0.27,-0.14,1.76,0.78,58.22
1781,34.39,7.83,22.94,8.85,30.77,1.53,3.98,0.43,14.76,-6.61,4.41,8.15,1.6,0.85,8.68,27.64,4.71,5.56,0.13,0.01,0.24,0.12,-1.93,0.68,34.39
1787,88.58,29.91,64.95,19.77,94.87,10.03,-9.69,29.42,-9.25,24.67,19.73,15.42,0.63,-2.44,27.47,63.81,-1.14,-3.58,0.4,0.11,-0.29,0.26,-2.7,2.29,88.58
2228,30.85,11.28,-8.47,-9.33,2.81,-3.44,-4.45,8.08,-8.03,8.68,3.64,0.65,0.99,1.54,12.82,9.42,17.89,19.43,-0.01,-0.04,0.29,-0.13,8.61,1.06,30.85
2340,84.98,12.01,64.94,9.65,76.95,8.95,4.67,14.78,11.56,15.33,19.45,26.89,-0.03,-1.56,10.44,68.41,3.47,1.9,0.65,0.02,0.3,-0.1,6.13,1.36,84.98
3003,-3.85,2.5,-5.55,-2.79,-3.05,0.26,8.56,-8.16,8.89,-12.32,0.39,-3.42,-0.3,-1.72,0.78,-4.95,0.6,-1.12,-0.04,0.01,0.63,-0.13,0.33,-0.44,-3.85
3015,179.01,59.99,116.06,17.5,176.05,11.17,-5.89,59.64,-6.09,39.74,53.75,33.65,0.76,-0.28,59.71,117.76,1.71,1.43,0.67,0.11,0.94,-0.07,1.54,2.5,179.01
3044,56.95,14.32,46.87,14.88,61.19,3.33,-5.28,16.27,3.74,13.93,10.99,17.67,0.83,-0.85,13.47,45.11,-1.76,-2.61,0.27,0.01,0.39,-0.04,-1.63,1.53,56.95
3173,66.67,6.16,61.43,16.22,67.59,4.99,14.04,5.35,20.45,0.38,19.38,20.83,-0.53,0.94,7.11,63.69,2.26,3.2,0.36,-0.01,-0.23,0.1,-4.13,0.55,66.67
3181,115.71,12.87,97.36,30.01,110.23,2.01,13.39,22.67,6.2,23.08,36.06,29.28,-1.05,0.89,13.76,98.01,0.65,1.54,0.6,-0.02,0.57,-0.04,3.94,1.82,115.71
3799,44.79,3.61,39.86,5.71,43.47,2.75,2.1,14.87,1.2,13.22,16.98,14.42,3.54,0.08,3.69,39.22,-0.64,-0.56,0.27,0.01,-0.1,0.17,1.88,0.5,44.79
3838,53.0,8.15,41.85,11.91,50.0,4.37,6.08,7.76,4.2,7.54,13.84,11.73,0.07,0.64,8.79,43.3,1.44,2.08,0.37,0.0,0.0,0.43,0.91,1.26,53.0
3951,55.3,5.58,44.4,16.7,49.98,-1.48,5.03,8.17,8.22,7.76,13.2,15.98,-0.76,0.21,5.79,47.37,2.97,3.18,0.29,0.0,-0.21,0.05,2.14,1.16,55.3
4093,18.32,8.27,17.27,7.7,25.54,1.12,-0.22,2.14,0.62,5.92,1.92,6.54,-0.36,-1.81,6.46,12.3,-4.97,-6.78,-0.05,0.01,0.91,0.21,-0.44,-0.68,18.32
4253,46.56,5.55,36.19,6.16,41.75,-3.59,-0.64,19.63,-0.05,14.7,18.98,14.64,2.17,1.61,7.17,37.47,1.28,2.89,0.01,-0.03,0.38,-0.03,1.92,0.61,46.56
4458,34.61,5.83,26.83,12.05,32.66,2.4,9.79,-4.03,1.99,4.63,5.76,6.62,0.96,-0.98,4.85,23.61,-3.22,-4.2,0.17,0.0,0.37,-0.02,6.16,0.18,34.61
4930,37.42,8.05,27.16,8.35,35.2,0.07,7.05,4.2,7.12,0.37,11.25,7.49,-0.87,0.38,8.43,29.97,2.81,3.19,0.43,0.0,-0.03,0.09,-0.97,0.71,37.42
5528,91.82,21.74,54.94,12.2,76.68,3.42,-6.2,18.24,0.72,26.56,12.04,27.27,1.68,10.22,31.97,60.54,5.6,15.82,0.49,-0.01,0.17,-0.05,-0.68,1.32,91.82
5590,14.1,7.87,3.52,0.04,11.39,-0.83,6.72,-5.13,4.73,-2.0,1.59,2.72,-0.99,-0.21,7.65,3.69,0.17,-0.05,-0.13,-0.02,0.68,1.11,2.75,-1.16,14.1
6423,31.2,0.89,32.33,8.71,33.22,0.15,-5.03,16.41,-3.55,15.65,11.38,12.09,1.18,0.42,1.31,30.22,-2.11,-1.69,0.06,0.01,0.16,-0.24,-0.34,0.99,31.2
6868,48.95,4.81,36.8,12.42,41.62,1.91,15.7,-3.06,13.54,-3.7,12.64,9.84,2.23,5.15,9.96,40.19,3.39,8.54,0.13,0.01,0.47,0.0,-1.21,0.62,48.95
6947,17.45,10.07,13.38,0.59,23.45,1.37,-6.76,10.68,-3.33,10.84,3.91,7.5,-1.7,-1.55,8.52,12.81,-0.56,-2.11,0.18,0.0,-0.01,0.0,-3.89,0.84,17.45
7030,-10.53,3.44,-18.06,-11.44,-14.62,-0.69,-6.54,9.86,-12.24,2.98,3.33,-9.26,-0.64,0.71,4.15,-15.8,2.26,2.96,0.04,-0.02,-0.24,-0.05,1.12,0.69,-10.53
7903,-11.73,7.42,-19.78,-8.54,-12.36,-0.73,7.07,-13.58,4.57,-8.58,-6.51,-4.01,1.64,-0.15,7.27,-21.4,-1.62,-1.76,-0.1,-0.01,0.0,0.14,2.4,-1.02,-11.73
8503,46.33,13.02,27.51,2.39,40.53,-1.33,7.44,9.11,9.88,0.0,16.56,9.89,-0.3,-0.37,12.65,26.49,-1.02,-1.39,0.31,-0.01,0.92,-0.22,7.19,0.82,46.33
9016,24.94,9.56,17.45,6.04,27.01,5.41,-4.09,5.56,-3.99,8.53,1.47,4.53,0.58,-1.13,8.43,15.25,-2.2,-3.33,-0.02,-0.02,0.17,0.22,1.26,0.18,24.94
9767,33.77,0.49,4.11,6.06,4.6,-1.22,4.12,-5.7,7.5,-6.65,-1.58,0.85,1.83,6.47,6.96,16.35,12.24,18.71,0.18,0.0,0.06,-0.12,10.46,1.03,33.77
10223,36.45,7.77,1.87,-3.7,9.64,0.25,-0.35,2.1,-0.95,4.52,1.74,3.58,2.94,7.59,15.37,17.15,15.28,22.87,0.13,0.0,-0.02,0.28,3.93,0.76,36.45
10922,65.5,12.23,48.42,12.5,60.65,3.67,7.35,6.99,10.87,7.05,14.34,17.92,1.67,0.91,13.14,50.61,2.19,3.1,0.17,-0.02,-0.04,-0.32,1.75,0.35,65.5
