team_number,team_name,city,state_prov,country,robot_image_url
20,The Rocketeers,Clifton Park,New York,USA,
48,Team E.L.I.T.E.,Warren,Ohio,USA,https://i.imgur.com/8ifeaLjm.jpg
144,Operation Orange,Hamilton,Ohio,USA,https://i.imgur.com/RuZlAXRm.jpg
191,X-CATS,Rochester,New York,USA,
271,Mechanical Marauders,Bay Shore,New York,USA,
325,Respawn Robotics,Hamilton,Ohio,USA,https://i.imgur.com/u3XKFg1m.jpg
340,G.R.R. (Greater Rochester Robotics),Churchville,New York,USA,https://i.imgur.com/20ZRK4sm.jpg
353,POBots,Plainview,New York,USA,https://www.instagram.com/p/DWAYYZdiTM0
378,The Circuit Stompers,Newfane,New York,USA,
424,Rust Belt Robotics,Buffalo,New York,USA,
432,The Final Countdown,Hamilton,Ohio,USA,https://i.imgur.com/PV1Bz4Nm.jpg
564,Longwood RoboLions,Middle Island,New York,USA,https://i.imgur.com/0ZxGbH9m.jpg
578,Fairport Robotics,Fairport,New York,USA,https://i.imgur.com/YhxfLG2m.jpg
639,Code Red Robotics,Ithaca,New York,USA,
694,StuyPulse,New York,New York,USA,
810,The Mechanical Bulls,Smithtown,New York,USA,https://www.instagram.com/p/DWFxHYBDMdW
1056,Hot Rocks,Hilo,Hawaii,USA,
1126,SPARX,Webster,New York,USA,
1405,Finney Falcons,Penfield,New York,USA,https://i.imgur.com/3NsyoH1m.jpg
1450,XQ Robotix Team 1450,Rochester,New York,USA,
1468,Hicksville J-Birds,Hicksville,New York,USA,https://i.imgur.com/LffoL4dm.jpg
1507,Warlocks,Lockport,New York,USA,https://i.imgur.com/uabr1W5m.jpg
1511,Rolling Thunder,Penfield,New York,USA,https://i.imgur.com/jyK3jZSm.jpg
1518,Raider Robotics,Palmyra,New York,USA,https://www.instagram.com/p/DWTy2szgBxF
1559,Devil Tech,Victor,New York,USA,
1585,Scitobor Robotics,Shortsville,New York,USA,
1591,Greece Gladiators,Rochester,New York,USA,
1781,Lindblom Electric Eagles,Chicago,Illinois,USA,https://i.imgur.com/kB0dQZam.jpg
1787,The Flying Circuits,Pepper Pike,Ohio,USA,https://i.imgur.com/Rsxi2A0m.jpg
2228,CougarTech,Honeoye Falls,New York,USA,https://i.imgur.com/6WdcxMKm.jpg
2340,Mercy Robotics-Xcentrics,Rochester,New York,USA,
3003,TAN(X),Canandaigua,New York,USA,
3015,Ranger Robotics,Spencerport,New York,USA,https://i.imgur.com/Z1joP93m.jpg
3044,Team 0xBE4,Ballston Spa,New York,USA,
3173,IgKnighters,Rochester,New York,USA,https://i.imgur.com/ASzeksgm.jpg
3181,Pittsford Panthers,Pittsford,New York,USA,
3799,Electric Fire,Elmira,New York,USA,
3838,Roc City Robotix,Rochester,New York,USA,
3951,SUITS,Honeoye,New York,USA,
4093,Hardwired,Orleans County,New York,USA,
4253,Raid Zero,Taipei,Taipei Special Municipality,Chinese Taipei,
4458,Infernobotix,Center Moriches,New York,USA,
4930,Electric Mayhem,Buffalo,New York,USA,
5528,Ultime,Trois-Rivieres,Québec,Canada,https://i.imgur.com/CooFWjOm.jpg
5590,Alumiboti,Buffalo,New York,USA,
6423,Ward Melville Iron Patriots,East Setauket,New York,USA,
6868,Cadet Robotics,Hilton,New York,USA,
6947,Savage Tumaz,Taipei,Taipei Special Municipality,Chinese Taipei,
7030,The ROBOlympians,Lake Placid,New York,USA,
7903,Tigers,Rochester,New York,USA,
8503,Raid One,Taipei City,Taipei Special Municipality,Chinese Taipei,
9016,Syosset SuperSonics,Syosset,New York,USA,
9767,Magnificat MagnifiBots,Rocky River,Ohio,USA,https://i.imgur.com/wKEfKJpm.jpg
10223,Crimson Jewels,Rochester,New York,USA,
10922,Amped,Taipei,Taipei Special Municipality,Chinese Taipei,
