team_number,OPR,Hub Auto Fuel Count,Hub Teleop Fuel Count,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub Transition Fuel Count,Hub Shift 1 Fuel Count,Hub Shift 2 Fuel Count,Hub Shift 3 Fuel Count,Hub Shift 4 Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Hub Uncounted,autoTowerPoints,totalAutoPoints,totalTeleopPoints,endGameTowerPoints,totalTowerPoints,energizedAchieved,superchargedAchieved,minorFoulCount,majorFoulCount,foulPoints,rp,totalPoints
20,62.52,6.05,56.67,19.81,62.71,1.29,24.95,-8.33,25.83,-6.87,16.62,18.96,2.44,-1.79,4.25,57.61,0.95,-0.85,0.14,0.13,0.04,-0.26,0.65,0.54,62.52
191,-4.85,5.02,-8.16,-2.49,-3.14,-2.44,-11.73,11.6,-16.69,13.58,-0.13,-3.11,-0.46,0.02,5.04,-7.06,1.1,1.12,0.07,-0.15,-0.15,0.18,-2.82,0.72,-4.85
229,-20.68,2.99,-17.42,-5.28,-14.44,3.01,-3.59,0.87,-7.88,-4.56,-2.72,-12.44,-0.78,-0.25,2.74,-18.1,-0.67,-0.92,-0.09,-0.08,0.09,0.24,-5.32,-0.33,-20.68
250,-14.24,2.05,-12.71,-4.77,-10.67,-4.75,-7.32,4.6,0.68,-1.16,-2.72,-0.48,0.62,-0.23,1.81,-12.73,-0.02,-0.25,-0.33,0.02,0.18,0.19,-3.32,-0.72,-14.24
263,75.94,16.7,62.22,23.19,78.92,0.63,26.17,-16.18,33.9,-5.49,9.99,28.4,-0.46,0.44,17.14,61.8,-0.41,0.02,0.26,-0.01,-0.1,0.25,-3.0,0.22,75.94
271,87.8,0.39,74.42,19.31,74.81,5.96,8.53,8.83,11.81,19.97,17.36,31.78,-0.08,-1.18,-0.8,76.45,2.03,0.85,0.26,0.09,-0.27,-0.46,12.14,1.52,87.8
287,179.42,30.72,135.59,27.52,166.31,6.18,7.83,40.27,18.57,35.21,48.1,53.78,4.52,0.09,30.82,136.23,0.64,0.73,0.71,0.14,0.22,-0.1,12.38,2.29,179.42
424,85.54,24.83,64.08,20.38,88.92,6.15,-1.95,19.63,6.7,13.17,17.69,19.87,1.79,1.04,25.87,62.55,-1.53,-0.5,0.29,0.07,0.22,0.16,-2.88,1.14,85.54
533,-3.1,8.54,-19.84,-0.05,-11.29,-0.31,-9.12,8.75,-16.3,-2.81,-0.37,-19.1,0.99,1.05,9.59,-19.19,0.64,1.69,-0.21,0.0,0.06,0.19,6.5,-0.28,-3.1
578,39.73,-0.24,38.52,12.31,38.28,0.0,18.8,-2.24,13.67,-4.04,16.57,9.63,-0.79,-1.76,-2.0,40.53,2.02,0.26,0.01,0.01,-0.22,0.13,1.2,-0.69,39.73
