team_number,team_name,city,state_prov,country,robot_image_url
20,The Rocketeers,Clifton Park,New York,USA,
191,X-CATS,Rochester,New York,USA,
229,Division By Zero,Potsdam,New York,USA,
250,The Dynamos,Colonie,New York,USA,https://i.imgur.com/4p9WsIGm.jpg
263,Aftershock,Ronkonkoma,New York,USA,https://i.imgur.com/vBIsgBtm.jpg
271,Mechanical Marauders,Bay Shore,New York,USA,
287,Floyd Robotics,Mastic Beach,New York,USA,https://i.imgur.com/CdoTreqm.jpg
424,Rust Belt Robotics,Buffalo,New York,USA,
533,The PSIcotics,Lindenhurst,New York,USA,
578,Fairport Robotics,Fairport,New York,USA,https://i.imgur.com/YhxfLG2m.jpg
677,Murphy's Outlaws,Columbus,Ohio,USA,https://i.imgur.com/MRMixLLm.jpg
806,The Brooklyn Blacksmiths,Brooklyn,New York,USA,
870,TEAM  R. I. C. E.,Southold,New York,USA,
1126,SPARX,Webster,New York,USA,
1405,Finney Falcons,Penfield,New York,USA,https://i.imgur.com/3NsyoH1m.jpg
1493,Falcons,Albany,New York,USA,
1559,Devil Tech,Victor,New York,USA,
1591,Greece Gladiators,Rochester,New York,USA,https://i.imgur.com/Y9BYuvNm.jpg
1796,RoboTigers,Queens,New York,USA,https://i.imgur.com/jK7kwkfm.jpg
1880,Warriors of East Harlem,New York,New York,USA,https://i.imgur.com/BMhueCWm.jpg
2053,Southern Tier Robotics,Vestal,New York,USA,https://i.imgur.com/FNOprCGm.jpg
2340,Mercy Robotics-Xcentrics,Rochester,New York,USA,
2791,Shaker Robotics,Latham,New York,USA,
3003,TAN(X),Canandaigua,New York,USA,
3044,Team 0xBE4,Ballston Spa,New York,USA,
3171,HURRICANES,Westhampton Beach,New York,USA,
3173,IgKnighters,Rochester,New York,USA,https://i.imgur.com/ASzeksgm.jpg
3181,Pittsford Panthers,Pittsford,New York,USA,https://i.imgur.com/0SZ4qa4m.jpg
3624,Soaring Colts,Huntington Station,New York,USA,
4121,Viking  Robotics,North Canton,Ohio,USA,https://i.imgur.com/e2xZ9npm.jpg
4122,Ossining OBOTS,Ossining,New York,USA,
4601,Circuit Birds,Canfield,Ohio,USA,https://i.imgur.com/Ft7jTTdm.jpg
4930,Electric Mayhem,Buffalo,New York,USA,
5016,Huntington Robotics,Huntington,New York,USA,
5149,TroyBotics,Albany,New York,USA,https://i.imgur.com/Eqt4a8Um.jpg
5590,Alumiboti,Buffalo,New York,USA,
5736,Kingsmen Robotics,Kings Park,New York,USA,https://i.imgur.com/HFARUonm.jpg
5881,TVHS Dragons,Albany,New York,USA,
6300,The Northwoodians,Lake Placid,New York,USA,
6436,PARS ROBOTICS,istanbul,Istanbul,Türkiye,
6463,Robotic Reapers,Port Ewen,New York,USA,
6621,Artemis,Chatham,New York,USA,
6648,MechaSpartans,Ozone Park,New York,USA,
6806,Mineola Wild Reds,Mineola,New York,USA,
7031,Duanesburg Jr./Sr. High School,Delanson,New York,USA,
7504,CyBearBots,Brewster,New York,USA,
7605,ASTRO,Sainte-Therese,Québec,Canada,
7718,HVPA Dragons,New Paltz,New York,USA,
7759,Bulldog Bytes,Irvington,New York,USA,
7903,Tigers,Rochester,New York,USA,
8222,The Argonauts,Cleveland,Ohio,USA,
9194,Gemin√-1s,Kent,Ohio,USA,https://i.imgur.com/9vz2oiem.jpg
9545,Caracal Robotics,SARIYER,Istanbul,Türkiye,https://i.imgur.com/Supc4U0m.jpg
9624,Dynamiques 9624,Longueuil,Québec,Canada,
10202,NOVATRON,Beylikdüzü,Istanbul,Türkiye,
10413,Flux Robotics,Pelham,New York,USA,https://i.imgur.com/Z6brZHIm.jpg
10582,The Technochauns,Youngstown,Ohio,USA,https://i.imgur.com/umiEL9nm.jpg
10604,Demirören Robotics,bağcılar,Istanbul,Türkiye,
10714,RAMpage.AI,Amsterdam,New York,USA,
11010,Bobcats,ISTANBUL,Istanbul,Türkiye,
